
# Curve 0 of 2, 138 points
# Curve title: "N_2=100  "
# x y type
 1 -0.0022565  i
 1.02 -0.0071675  i
 1.06121 -0.015464  i
 1.06121 -0.017036  i
 1.06121 -0.016163  i
 1.06121 -0.01784  i
 1.06121 -0.015857  i
 1.06121 -0.015926  i
 1.06121 -0.015401  i
 1.06121 -0.016613  i
 1.06121 -0.014585  i
 1.06121 -0.0151565  i
 1.06121 -0.014552  i
 1.06121 -0.0156665  i
 1.06121 -0.0142115  i
 1.06121 -0.014489  i
 1.06121 -0.014897  i
 1.06121 -0.014198  i
 1.06121 -0.015095  i
 1.06121 -0.0152165  i
 1.10408 -0.0243755  i
 1.12616 -0.0317375  i
 1.12616 -0.0289205  i
 1.12616 -0.0282575  i
 1.12616 -0.0286295  i
 1.12616 -0.0269075  i
 1.12616 -0.0269435  i
 1.12616 -0.026348  i
 1.12616 -0.026633  i
 1.12616 -0.0264725  i
 1.12616 -0.0249845  i
 1.12616 -0.0231125  i
 1.12616 -0.023882  i
 1.12616 -0.02348  i
 1.12616 -0.0242645  i
 1.14869 -0.029834  i
 1.19509 -0.0383525  i
 1.19509 -0.039548  i
 1.19509 -0.039026  i
 1.19509 -0.037538  i
 1.19509 -0.0383195  i
 1.19509 -0.038006  i
 1.19509 -0.0360695  i
 1.19509 -0.034301  i
 1.19509 -0.0331565  i
 1.19509 -0.032357  i
 1.19509 -0.0319505  i
 1.19509 -0.02981  i
 1.21899 -0.0366995  i
 1.24337 -0.0470345  i
 1.26824 -0.0494885  i
 1.26824 -0.0494195  i
 1.26824 -0.047366  i
 1.26824 -0.0452555  i
 1.26824 -0.046574  i
 1.26824 -0.0446945  i
 1.26824 -0.043166  i
 1.29361 -0.049373  i
 1.34587 -0.056543  i
 1.34587 -0.057593  i
 1.34587 -0.055358  i
 1.34587 -0.055808  i
 1.34587 -0.0549155  i
 1.34587 -0.0539375  i
 1.40024 -0.0626555  i
 1.42825 -0.070724  i
 1.42825 -0.0660665  i
 1.42825 -0.0657665  i
 1.42825 -0.063272  i
 1.42825 -0.0657635  i
 1.48595 -0.0747995  i
 1.51567 -0.0782165  i
 1.51567 -0.0756305  i
 1.51567 -0.073667  i
 1.54598 -0.0791735  i
 1.5769 -0.087137  i
 1.60844 -0.0862655  i
 1.60844 -0.083915  i
 1.64061 -0.0895475  i
 1.67342 -0.0986285  i
 1.70689 -0.0990905  i
 1.70689 -0.0997325  i
 1.77584 -0.105665  i
 1.81136 -0.110233  i
 1.84759 -0.11421  i
 1.88454 -0.118658  i
 1.96068 -0.120391  i
 1.99989 -0.12869  i
 2.03989 -0.125684  i
 2.08069 -0.135286  i
 2.16474 -0.139139  i
 2.20804 -0.140675  i
 2.29724 -0.144471  i
 2.34319 -0.149803  i
 2.43785 -0.154612  i
 2.48661 -0.15683  i
 2.58707 -0.159935  i
 2.63881 -0.163066  i
 2.74542 -0.167492  i
 2.80033 -0.170369  i
 2.91346 -0.172772  i
 2.97173 -0.17665  i
 3.09179 -0.180088  i
 3.15362 -0.183434  i
 3.28103 -0.185682  i
 3.34665 -0.187616  i
 3.48186 -0.189239  i
 3.55149 -0.194039  i
 3.69497 -0.196012  i
 3.76887 -0.19858  i
 3.92114 -0.199853  i
 3.99956 -0.201194  i
 4.16114 -0.201593  i
 4.24436  NaN  u
 4.41584  NaN  u
 4.50415  NaN  u
 4.68612  NaN  u
 4.77984  NaN  u
 4.97295  NaN  u
 5.07241  NaN  u
 5.27733  NaN  u
 5.38288  NaN  u
 5.60035  NaN  u
 5.71235  NaN  u
 5.94313  NaN  u
 6.062  NaN  u
 6.3069  NaN  u
 6.43304  NaN  u
 6.69293  NaN  u
 6.82679  NaN  u
 7.10259  NaN  u
 7.24465  NaN  u
 7.53733  NaN  u
 7.68808  NaN  u
 7.99867  NaN  u
 8.15865  NaN  u
 8.48826  NaN  u
 8.65802  NaN  u


# Curve 1 of 2, 47 points
# Curve title: "N_1=1900"
# x y type
 1 -0.0020795  i
 1.10408 -0.0271865  i
 1.17166 -0.037982  i
 1.24337 -0.047285  i
 1.31948 -0.058079  i
 1.45681 -0.073883  i
 1.54598 -0.084395  i
 1.64061 -0.095513  i
 1.74102 -0.106949  i
 1.84759 -0.11905  i
 1.96068 -0.13141  i
 2.08069 -0.141866  i
 2.20804 -0.152438  i
 2.34319 -0.163732  i
 2.48661 -0.174268  i
 2.63881 -0.185171  i
 2.80033 -0.196292  i
 2.97173 -0.208232  i
 3.15362 -0.22098  i
 3.34665 -0.234728  i
 3.55149 -0.249202  i
 3.76887 -0.26501  i
 3.99956 -0.281336  i
 4.24436  NaN  u
 4.50415  NaN  u
 4.59424  NaN  u
 4.77984  NaN  u
 4.87544  NaN  u
 5.07241  NaN  u
 5.17386  NaN  u
 5.38288  NaN  u
 5.49054  NaN  u
 5.71235  NaN  u
 5.8266  NaN  u
 6.062  NaN  u
 6.18324  NaN  u
 6.43304  NaN  u
 6.5617  NaN  u
 6.82679  NaN  u
 6.96333  NaN  u
 7.24465  NaN  u
 7.38954  NaN  u
 7.68808  NaN  u
 7.84184  NaN  u
 8.15865  NaN  u
 8.32182  NaN  u
 8.65802  NaN  u

