
# Curve 0 of 2, 27 points
# Curve title: "N_2=100  "
# x y type
 0 -0.200562  i
 0.005 -0.0913445  i
 0.01 -0.0782915  i
 0.015 -0.07469  i
 0.02 -0.066812  i
 0.025 -0.064151  i
 0.03 -0.058166  i
 0.06 -0.048107  i
 0.12 -0.037934  i
 0.18 -0.0300215  i
 0.24 -0.02591  i
 0.3 -0.0237545  i
 0.36 -0.0221255  i
 0.42 -0.0199685  i
 0.48 -0.0200105  i
 0.54 -0.018419  i
 0.6 -0.017003  i
 0.66 -0.0143825  i
 0.72 -0.0160505  i
 0.78 -0.015206  i
 0.84 -0.015164  i
 0.9 -0.0147215  i
 0.96 -0.012086  i
 1.02 -0.014438  i
 1.08 -0.013811  i
 1.14 -0.013889  i
 1.2 -0.013715  i


# Curve 1 of 2, 27 points
# Curve title: "N_1=1900"
# x y type
 0 -0.275666  i
 0.005 -0.202419  i
 0.01 -0.190085  i
 0.015 -0.182345  i
 0.02 -0.176735  i
 0.025 -0.172459  i
 0.03 -0.168853  i
 0.06 -0.156469  i
 0.12 -0.143354  i
 0.18 -0.135634  i
 0.24 -0.130173  i
 0.3 -0.126125  i
 0.36 -0.122007  i
 0.42 -0.118702  i
 0.48 -0.115838  i
 0.54 -0.112738  i
 0.6 -0.110522  i
 0.66 -0.108079  i
 0.72 -0.106391  i
 0.78 -0.104243  i
 0.84 -0.102515  i
 0.9 -0.101213  i
 0.96 -0.0988085  i
 1.02 -0.097286  i
 1.08 -0.096161  i
 1.14 -0.095093  i
 1.2 -0.0936425  i

